tract,drywells,domwells,ratio,CESscoreP,tenpercbins,lat,long
6107002500,47,132,0.356060606,73,70%-80%,-119.1291061,36.2050995
6107003802,1,11,0.090909091,71,70%-80%,-119.0166966,36.070899
6107002007,23,166,0.138554217,57,50%-60%,-119.3248599,36.2802907
6107001902,0,4,0,71,70%-80%,-119.2990915,36.302965
6107001800,0,11,0,51,50%-60%,-119.3047728,36.3198504
6107002400,41,452,0.090707965,74,70%-80%,-119.2730278,36.1906178
6107003300,110,358,0.30726257,86,80%-90%,-119.1119527,36.1328505
6107000800,59,554,0.106498195,70,60%-70%,-119.2108517,36.4202175
6107003700,10,30,0.333333333,81,80%-90%,-119.0241104,36.0867011
6107001501,8,48,0.166666667,47,40%-50%,-119.1444506,36.3043939
6107004500,14,92,0.152173913,81,80%-90%,-118.9866017,35.8807557
6107004400,0,6,0,72,70%-80%,-119.265395,35.8758839
6107002202,3,11,0.272727273,79,70%-80%,-119.3656637,36.2075367
6099003606,1,34,0.029411765,58,50%-60%,-120.8609918,37.5330658
6099002402,0,3,0,99,90%-100%,-121.0092162,37.6010166
6099002006,0,4,0,80,70%-80%,-120.9254717,37.6449218
6099002504,0,10,0,90,80%-90%,-120.9697851,37.5921181
6099002604,1,10,0.1,95,90%-100%,-120.9641077,37.6035519
6099003803,0,32,0,91,90%-100%,-120.8421053,37.4839984
6099003905,0,9,0,55,50%-60%,-120.8252426,37.4998207
6099003909,0,4,0,64,60%-70%,-120.8607177,37.516714
6099000301,0,3,0,89,80%-90%,-120.9332632,37.7365093
6099002302,0,5,0,100,90%-100%,-120.982756,37.6209695
6099001200,0,1,0,80,70%-80%,-120.9941028,37.64972
6099000910,0,2,0,74,70%-80%,-120.9667084,37.6726269
6099001900,0,3,0,94,90%-100%,-120.9695762,37.6436844
6099000909,0,1,0,88,80%-90%,-120.9842758,37.673238
6099003202,1,76,0.013157895,77,70%-80%,-121.1449685,37.4647933
6099001100,0,2,0,85,80%-90%,-120.9877386,37.6627186
6099002004,0,3,0,96,90%-100%,-120.9440005,37.6466798
6099001001,0,2,0,67,60%-70%,-120.9656989,37.6591088
6099000805,0,1,0,91,90%-100%,-121.0216617,37.6764076
6099000503,0,11,0,74,70%-80%,-121.0584292,37.6937352
6099003500,2,80,0.025,75,70%-80%,-121.0296226,37.3133564
6099003907,0,16,0,49,40%-50%,-120.8343873,37.5147982
6099002602,0,9,0,88,80%-90%,-120.9450461,37.5877211
6099002605,0,11,0,77,70%-80%,-120.942101,37.6018684
6099001400,0,1,0,99,90%-100%,-121.0204403,37.6627736
6099002501,0,16,0,97,90%-100%,-120.9844811,37.5947739
6099003201,0,66,0,84,80%-90%,-121.1191974,37.4731094
6099003802,0,20,0,97,90%-100%,-120.8576989,37.4861261
6099000201,1,44,0.022727273,69,60%-70%,-120.8727188,37.7667839
6099001604,0,2,0,89,80%-90%,-121.0172914,37.6170322
6099000203,3,117,0.025641026,75,70%-80%,-120.8306667,37.7663393
6099002702,0,25,0,92,90%-100%,-120.9665381,37.6152295
6099002803,0,2,0,69,60%-70%,-120.9154999,37.6679063
6099002200,0,5,0,99,90%-100%,-121.0038051,37.6223838
6099000504,0,19,0,42,40%-50%,-121.038906,37.6996863
6099000602,0,13,0,92,90%-100%,-121.0307757,37.6547882
6099001002,0,2,0,77,70%-80%,-120.9783229,37.6547424
6099000601,0,95,0,79,70%-80%,-121.054918,37.6628873
6099000912,0,24,0,64,60%-70%,-120.9376668,37.6796323
